id	filename	md5	size	state
003a33f3-3658-4e60-967c-dc97b83c105c	003a33f3-3658-4e60-967c-dc97b83c105c/e1185f5a-363a-4001-9ffa-6355a4e915cc.htseq.counts.gz	a168e56ff49007414a5532951ce91b88	253674	validated
0097e580-5a77-4cc2-b43e-99df1eb9fad0	0097e580-5a77-4cc2-b43e-99df1eb9fad0/5e79c5a9-5341-44e1-95fb-392020416b0c.htseq.counts.gz	ae5ed0faa6ccf8b75ed1ea3eb7ca5c26	244623	validated
0133b9e4-884c-45f8-8bd0-e796d7058012	0133b9e4-884c-45f8-8bd0-e796d7058012/9dcc4f82-49ff-43d5-af4b-e1fd6480b863.htseq.counts.gz	b6ff3abf1ed9896781c59076f2fcaf0a	247829	validated
031eaab8-67fc-484c-ac4c-2678758ced23	031eaab8-67fc-484c-ac4c-2678758ced23/ec8f3bbf-4325-4a82-a1e2-206d47381386.htseq.counts.gz	86b0ccee3734513547756e6bd54d8cff	253610	validated
03f33c10-915f-4523-8871-1482aaff3549	03f33c10-915f-4523-8871-1482aaff3549/3eca4bbb-7fca-4ffa-9ebf-044bee4fe341.htseq.counts.gz	1e4dc668dbc5c1bbcbbdcddd81df38ab	248726	validated
04303348-e957-474f-9667-0f36ee8cbbf6	04303348-e957-474f-9667-0f36ee8cbbf6/c8cb8ef1-b679-4084-a11a-4ccc68d4a062.htseq.counts.gz	0beb417953055b7ec6bd293cdb924028	255738	validated
04527ea0-e6b1-4bbc-8b30-983bb193779a	04527ea0-e6b1-4bbc-8b30-983bb193779a/4af659b1-ace9-4158-8de3-3b985ea9f585.htseq.counts.gz	e55b49117067c0ca35d2d3e208a0e6ff	249953	validated
0494838d-60cc-4bb8-8edd-f53f11238e51	0494838d-60cc-4bb8-8edd-f53f11238e51/0c8fee2b-71b6-4eb8-b983-8b75521c2a37.htseq.counts.gz	5257277998ccc5b9197f9e70a621bfc5	248507	validated
069ded62-6c9d-462c-8ae7-dde7437e5d7d	069ded62-6c9d-462c-8ae7-dde7437e5d7d/a64e7f14-8136-4db2-91a6-458104519b17.htseq.counts.gz	c6bee699362bbc2eea2f5ce1ce426464	243545	validated
06a08433-a734-4fb6-b300-e4bb50209bca	06a08433-a734-4fb6-b300-e4bb50209bca/7cc2aebd-6ebb-4789-88e2-aacba0ecae57.htseq.counts.gz	74bb5748b137f312214acb86335cadb5	256745	validated
06f89bc6-2e97-4bfa-989c-4934e7f28f05	06f89bc6-2e97-4bfa-989c-4934e7f28f05/9901dccf-afd1-4ebf-9efd-5aed4de03636.htseq.counts.gz	691d9de529859776478a3e90b9bf02a2	250647	validated
07458e60-4784-4ba5-963c-a9acb12444e0	07458e60-4784-4ba5-963c-a9acb12444e0/f5659309-d6c2-49de-a04b-4734e2b70093.htseq.counts.gz	1c848f4ef635e4b5745d850581009636	256506	validated
085f785f-2814-4a18-98df-972590b6f709	085f785f-2814-4a18-98df-972590b6f709/1aebe8a0-7fcb-407d-aa21-55e386f7297e.htseq.counts.gz	a43dcb3adc4b763d1c0c72b738349a87	249798	validated
08c7a80d-8171-445e-ba07-d3fd28207d72	08c7a80d-8171-445e-ba07-d3fd28207d72/e698cf41-8ad9-4765-a3a8-80b7f4f6b417.htseq.counts.gz	06fedb14e2b385c8add65a1c255ff3e7	249621	validated
08e984c0-12a9-4e4a-956c-c92900222a2a	08e984c0-12a9-4e4a-956c-c92900222a2a/41dc9334-06f8-4dbb-a9f0-5517cf5e956b.htseq.counts.gz	fc0b8047609083875721939853efcbbf	253018	validated
09414789-ca82-4bf6-bd19-e3b5f3d03147	09414789-ca82-4bf6-bd19-e3b5f3d03147/aaf80230-460a-4f5a-8517-ae23b0ea8381.htseq.counts.gz	78b460202576323ec43173272c97c067	252781	validated
096fd4f5-1110-43a1-a3c6-0d9477af2c6d	096fd4f5-1110-43a1-a3c6-0d9477af2c6d/49fc6d64-3d80-4555-9645-a7d91fd59d33.htseq.counts.gz	d34cf20a21acc5d9d4f643392a454ddd	249557	validated
098f61ae-a7f9-42d4-9e02-7a035c498d32	098f61ae-a7f9-42d4-9e02-7a035c498d32/5984a42d-b905-4011-9192-0a5ecb1f3d55.htseq.counts.gz	89d51476df3d6fd887f7258d2db29b88	248989	validated
0a595371-0a31-47af-8ab5-9e06657f8e5e	0a595371-0a31-47af-8ab5-9e06657f8e5e/15458b0b-c9f0-46ee-aaad-58c44c43f37b.htseq.counts.gz	3d0b7614fed68395b46ad955e22da6a9	249015	validated
0aae20cd-2601-4c12-a00f-d5f8bad66be5	0aae20cd-2601-4c12-a00f-d5f8bad66be5/ee00edb2-f47a-4d1b-a2e7-3441cfdb29f6.htseq.counts.gz	544b0ce1b965828b0adcf46322d6f6ef	250278	validated
0aeb1520-4cbd-4813-8617-42cd30e0380b	0aeb1520-4cbd-4813-8617-42cd30e0380b/514918de-c3d4-49b9-a0bd-682364d1a02a.htseq.counts.gz	7b8113a0ab963e066d691215964f847a	251090	validated
0b856563-ca19-4b37-8a62-075e3e87e737	0b856563-ca19-4b37-8a62-075e3e87e737/4ea57542-c760-4311-9f5e-dcd9d9dc33b5.htseq.counts.gz	04d7e5c08dbd13dc25e66e61ca321e95	249035	validated
